mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
supermartijn642configlib,SuperMartijn642's Config Library,1.1.8,supermartijn642configlib-1.1.8-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-config-lib,https://github.com/SuperMartijn642/SuperMartijn642sConfigLib/issues
netherexp,Jaden's Nether Expansion,2.3.4,Jadens-Nether-Expansion-2.3.4.jar,,,https://github.com/ThatJadenXgamer/Jadens-Nether-Expansion/issues
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20 (1).jar,,,
aether,The Aether,1.20.1-1.5.2-neoforge,aether-1.20.1-1.5.2-neoforge (1).jar,,https://modrinth.com/mod/aether,https://github.com/The-Aether-Team/The-Aether/issues
mcwwindows,Macaw's Windows,2.3.0,mcw-windows-2.3.0-mc1.20.1forge (1).jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-windows,
stalwart_dungeons,Stalwart Dungeons,1.2.8,stalwart-dungeons-1.20.1-1.2.8.jar,,https://www.curseforge.com/minecraft/mc-mods/stalwart-dungeons,
citadel,Citadel,2.6.2,citadel-2.6.2-1.20.1.jar,,https://github.com/Alex-the-666/Citadel,https://github.com/Alex-the-666/Citadel/issues
yungsapi,YUNG's API,1.20-Forge-4.0.6,YungsApi-1.20-Forge-4.0.6 (1).jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-api,https://github.com/yungnickyoung/YUNGs-Api/issues
mixinextras,MixinExtras,0.4.1,mixinextras-forge-0.4.1.jar,,https://github.com/LlamaLad7/MixinExtras,
dried_ghast,dried_ghast,1.0.0,happy_ghast-3.0.0-forge-1.20.1.jar,,https://www.curseforge.com/members/kleiders3010/projects,
mcwdoors,Macaw's Doors,1.1.2,mcw-doors-1.1.2-mc1.20.1forge (1).jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-doors,
projectile_damage,Projectile Damage Attribute,3.2.2+1.20.1,projectile_damage-forge-3.2.2+1.20.1 (1).jar,,,https://github.com/ZsoltMolnarrr/ProjectileDamage/issues
